SALLVL,SALLVLT
01,"Less than $20,000"
02,"$20,000 - $29,999"
03,"$30,000 - $39,999"
04,"$40,000 - $49,999"
05,"$50,000 - $59,999"
06,"$60,000 - $69,999"
07,"$70,000 - $79,999"
08,"$80,000 - $89,999"
09,"$90,000 - $99,999"
10,"$100,000 - $109,999"
11,"$110,000 - $119,999"
12,"$120,000 - $129,999"
13,"$130,000 - $139,999"
14,"$140,000 - $149,999"
15,"$150,000 - $159,999"
16,"$160,000 - $169,999"
17,"$170,000 - $179,999"
18,"$180,000 - $189,999"
19,"$190,000 - $199,999"
20,"$200,000 - $219,999"
21,"$220,000 - $239,999"
22,"$240,000 - $259,999"
23,"$260,000 - $279,999"
24,"$280,000 - $299,999"
25,"$300,000 - $349,999"
26,"$350,000 - $399,999"
27,"$400,000 - $449,999"
28,"$450,000 - $499,999"
29,"$500,000 or more"
30,Unspecified or Zero
