Code,Agency,From,Through
WX00,World War 1 Centennial Commission,6/13/2014,Present
SM02,Woodrow Wilson International Center for Scholars,5/1/1985,Present
DLWB,Women's Bureau,6/1/1998,Present
WH01,White House Office.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/1983,Present
GN00,White House Commission on the National Moment of Remembrance,1/1/2002,Present
WZ00,Western Hemisphere Drug Policy Commission,3/1/2019,Present
DD21,Washington Headquarters Services,10/1/1977,Present
DLWH,Wage and Hour Division,9/1/2009,Present
DD73,Virginia Contracting Activity.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/2004,Present
GO00,Vietnam Education Foundation,4/1/2002,Present
VATA,Veterans Health Administration,6/1/1991,Present
DLVE,Veterans Employment and Training Service,4/1/1984,Present
VALA,Veterans Benefits Administration,9/1/1989,Present
VABJ,Veteran Employment Services Office,7/1/2011,Present
VAHG,Vet Customer Experience (VCE),2/25/2016,Present
GM00,Valles Caldera Trust,10/1/2003,Present
VAGH,VA Integrated OPS Center,9/26/2017,Present
VAAH,VA CTR FOR INNOVATION,2/25/2016,Present
VAHF,VA CENTER FOR INNOVATION,2/1/2015,Present
UT00,Utah Reclamation Mitigation and Conservation Commission,10/1/1994,Present
ZS00,United States-China Economic and Security Review Commission,3/1/2003,Present
AF6F,United States Space Force Forces,2/3/2020,Present
AF6K,United States Space Force Components,9/29/2023,Present
AF4G,United States Space Force,12/10/2019,Present
NV60,United States Fleet Forces Command,8/1/2016,Present
WH05,United States DOGE Service. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,1/24/2025,Present
ARXG,United States Army Print and Media Distribution Center,9/13/2020,Present
ARX9,United States Army Medical Logistics Command,1/30/2020,Present
ARXA,United States Army Installation Management Command,9/11/2019,Present
ARXF,United States Army Financial Management Command,1/30/2020,Present
ARE3,United States Army Europe and Africa,11/13/2020,Present
ARCB,United States Army Criminal Investigation Division,9/17/2021,Present
AF1R,United States Africa Command,4/10/2012,Present
DD15,Uniformed Services University of the Health Sciences,6/1/2001,Present
DD67,Unified Combatant Command Headquarters.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,3/1/2003,Present
AF6G,USSF Support to USAF (NON-HAF),1/10/2024,Present
AF4H,USSF Support to HAF (NON-OCSO),1/10/2024,Present
DDC0,US Cyber Command (CYBERCOM) Headquarters. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes..,4/1/2023,Present
ARHC,US Army Human Resources Command (DRU),10/1/2017,Present
ARFB,US Army Financial Management Command,10/1/2017,Present
ARCH,US Army Civilian Human Resources Agency,10/1/2017,Present
ARAF,UNITED STATES ARMY FUTURES COMMAND,7/20/2018,Present
DJ11,U.S. Trustee Program,1/1/2001,Present
DD76,U.S. Transportation Command.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,7/1/2005,Present
JL03,U.S. Tax Court,8/25/2013,Present
NVZS,U.S. Special Operations Command (Navy),2/1/1991,Present
ARSP,U.S. Special Operations Command (Army),12/1/1991,Present
AFZG,U.S. Special Operations Command (ANG),9/1/2018,Present
HSAD,U.S. Secret Service,1/1/2003,Present
GW00,"U.S. SECTION, INTERNATIONAL BOUNDARY AND WATER COMMISSION",1/13/2018,Present
PO00,U.S. Postal Service. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,6/1/1972,Present
NV70,U.S. Pacific Fleet,5/14/2020,Present
AF4D,U.S. Northern Command,4/10/2012,Present
NV61,"U.S. Naval Forces, Europe",4/1/1984,Present
TRAD,U.S. Mint,4/1/1994,Present
ARAP,U.S. Military Entrance Processing Command,10/1/2009,Present
ARED,"U.S. Military Community Activity, Heidelberg",4/1/1984,Present
ARMA,U.S. Military Academy,4/1/1984,Present
DJ08,U.S. Marshals Service,6/1/1972,Present
NV27,U.S. Marine Corps,4/1/1984,Present
TC00,U.S. International Trade Commission,1/1/1975,Present
HW00,U.S. Interagency Council on Homelessness,2/1/2005,Present
HD00,U.S. Holocaust Memorial Museum,2/1/2001,Present
IN08,U.S. Geological Survey,6/1/2020,Present
IN15,U.S. Fish and Wildlife Service,4/1/1974,Present
JL02,U.S. Courts.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/1999,Present
DD08,U.S. Court of Appeals for the Armed Forces,5/1/1996,Present
