Doge Agency,Doge Upload Date,Contract URL,Doge Value,Doge Desc,Valid URL,agencyID,PIID,modNumber,transactionNumber,idvAgencyID,idvPIID,idvModNumber,reasonForModification,solicitationID,tasAgencyIdentifier,tasMainAccountCode,tasSubAccountCode,signedDate,effectiveDate,awardCompletionDate,estimatedUltimateCompletionDate,solicitationDate,previousObligatedAmount,obligatedAmount,totalObligatedAmount,previousBaseAndExercisedOptionsValue,baseAndExercisedOptionsValue,totalBaseAndExercisedOptionsValue,previousUltimateContractValue,ultimateContractValue,totalUltimateContractValue,feesPaidForUseOfService,contractingOfficeAgencyID,contractingOfficeAgencyName,contractingOfficeID,contractingOfficeName,fundingRequestingAgencyID,fundingRequestingAgencyName,fundingRequestingOfficeID,fundingRequestingOfficeName,ccrException,UEINumber,vendorName,vendorDoingAsBusinessName,cageCode,vendorStreet,vendorStreet2,vendorCity,vendorState,vendorZip,vendorCountryForDisplay,vendorPhone,vendorFax,vendorCongressionalDistrict,organizationType,stateOfIncorporation,countryOfIncorporation,majorProgramCode,numberOfActions,placeStateCode,placeLocationCode,placeCountryCode,principalPlaceOfPerformanceCountyName,principalPlaceOfPerformanceName,congressionalDistrictPlaceOfPerformance,placeOfPerformanceZIPCode,placeOfPerformanceZIPCode4,productOrServiceCode,productOrServiceCodeDescription,principalNAICSCode,NAICSCodeDescription,systemEquipmentCode,systemEquipmentShortDescription,countryOfOrigin,countryOfOriginForDisplay,claimantProgramCode,claimantProgramCodeShortDescription,extentCompetedForReferencedIDV,idvTypeOfSetAside,typeOfSetAsideSource,idvNumberOfOffersReceived,numberOfOffersReceived,numberOfOffersSource,pricePreferncePercentDifference,otherStatutoryAuthority,descriptionOfContractRequirement,displayAwardType,displayPreparedDate,displayPreparedBy,displayStatus,displayLastModifiedDate,displayLastModifiedBy,displayClosedStatus,displayClosedDate,displayClosedBy,displayApprovedPlaceholder,displayApprovedDate,displayApprovedBy,,tasInitiative,foreignFunding,typeOfContractPricing,inherentlyGovernmentalFunction,multiYearContract,nationalInterest,costOrPricingData,acceptPurchaseCard,undefinitizedAction,performanceBasedServiceContract,contingencyHumanitarianPeacekeepingOperation,contractFinancing,costAccountingStandardsClause,consolidatedContract,ClingerCohenAct,laborStandards,materialsSuppliesArticlesEquipment,constructionWageRateRequirements,listOfAdditionalReportingValues,interagencyContractingAuthority,bundledContractException,placeOfManufacture,manufacturingOrganizationType,recoveredMaterialClauses,informationTechnologyCommercialItemCategory,seaTransportation,GFE_GFP,useOfEPADesignatedProducts,extentCompeted,tradeoffProcess,solicitationProcedures,typeOfSetAside,evaluatedPreference,research,statutoryExceptionToFairOpportunity,reasonNotCompeted,localAreaSetAside,fedBizOpps,A76Action,commercialItemAcquisitionProcedures,commercialItemTestProgram,contractingOfficerBusinessSizeDetermination,subcontractPlan,lastDateToOrder,baseAndAllOptionsValue,totalEstimatedOrderValue,programAcronym,websiteURL,FIPS95Codes,emailAddress,individualOrderLimit,fixedFeeValue,feeRangeLowerValue,feeRangeUpperValue,orderingProcedure,displayIDVType,typeOfIDC,multipleOrSingleAwardIDC,whoCanUse
COMMODITY FUTURES TRADING COMMISSION,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY19F0048&modNumber=P00001&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD,$0,RENEW WEST PRINT SUBSCRIPTIONS FOR VARIOUS LEGAL TITLES FOR EIGHT DIFFERENT ACCOUNTS IN EVERY CFTC LOCATION.,True,9507,9523ZY19F0048,P00001,0,4732,GS02F026DA,PA0149,Close Out,,,,,02/05/2025,06/28/2019,09/30/2019,09/30/2019,,,$0.00,"$21,382.14",,$0.00,"$21,382.14",,$0.00,"$21,382.14",$0.00,9507,COMMODITY FUTURES TRADING COMMISSION,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISSION,9523ZY,COMMODITY FUTURES TRADING COMM,,L997DB4PEJL8,WEST PUBLISHING CORPORATION,,89101,2900 AMES CROSSING RD STE 100,,EAGAN,MN,551212498,UNITED STATES,(763) 326-4762,,MINNESOTA 02,CORPORATE NOT TAX EXEMPT,MN,USA,,1,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,DISTRICT OF COLUMBIA 98,20581,0001,7630,NEWSPAPERS AND PERIODICALS,519130,INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,,,USA,UNITED STATES,,,,No set aside used.,FSS,999,1,This Action,,,Renew West print subscriptions for various legal titles for eight different accounts in every CFTC location.,Delivery/Task Order,02/04/2025 15:23:35,LHICKS@CFTC.GOV,Final,02/05/2025 15:35:58,KRISON@CFTC.GOV,Yes,02/05/2025 15:35:58,KRISON@CFTC.GOV,,02/05/2025 15:35:58,KRISON@CFTC.GOV,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Select One,Select One,Select One,No,No,No,Not Applicable,Not Applicable,Not Applicable,Select One,Not Consolidated,No,Not Applicable,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Mfg in U.S.,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Full and Open Competition,Select One,Subject to Multiple Award Fair Opportunity,Select One,No Preference used,Select One,Only One Source - Other ,Select One,No,Yes,No,Commercial Products/Services,No,Other than Small Business,Commercial Subcontract Plan ,,,,,,,,,,,,,,,,
COMMODITY FUTURES TRADING COMMISSION,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY21P0041&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$60,373",ANNUAL SUBSCRIPTION TO POLITICO PRO,True,9507,9523ZY21P0041,P00003,0,,,,Exercise an Option,,,,,07/30/2024,09/30/2021,09/29/2025,09/29/2026,,,"$57,499.00","$195,490.00",,"$57,499.00","$195,490.00",,$0.00,"$255,863.00",$0.00,9507,COMMODITY FUTURES TRADING COMMISSION,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISSION,9523ZY,COMMODITY FUTURES TRADING COMM,,T8JGE1LE8933,"POLITICO, LLC",,7GC29,1000 WILSON BLVD 8TH FLOOR,,ARLINGTON,VA,222093927,UNITED STATES,(571) 392-2935,,VIRGINIA 08,PARTNERSHIP,DE,USA,,1,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,DISTRICT OF COLUMBIA 98,20581,0001,7630,NEWSPAPERS AND PERIODICALS,511110,NEWSPAPER PUBLISHERS,,,USA,UNITED STATES,,,,,This Action,,1,This Action,,,Subscription to Politico Pro,Purchase Order,07/26/2024 08:27:25,G_SMITH,Final,07/30/2024 10:34:37,KRISON@CFTC.GOV,No,,,,07/30/2024 10:34:37,KRISON@CFTC.GOV,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Select One,Select One,Select One,Select One,No,No,Not Applicable,Not Applicable,Not Applicable,Select One,Not Consolidated,No,Not Applicable,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Mfg in U.S.,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Not Competed under SAP,Other,Simplified Acquisition,No set aside used.,No Preference used,Select One,Select One,SAP Non-Competition (FAR 13),No,Not Applicable,No,Products or services pursuant to FAR 12.102(f),No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
CONSUMER FINANCIAL PROTECTION BUREAU,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0024&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$148,350",BLOOMBERG TERMINALS,True,955F,9531CB24C0024,P00001,0,,,,Terminate for Convenience (complete or partial),,,,,02/10/2025,09/16/2024,09/15/2025,09/15/2029,,,$0.00,"$30,000.00",,$0.00,"$30,000.00",,$0.00,"$178,350.00",$0.00,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,,PFDZJZ15N3R1,BLOOMBERG FINANCE LP,,51M77,731 LEXINGTON AVE,,NEW YORK,NY,100221331,UNITED STATES,(212) 617-5629,,NEW YORK 12,PARTNERSHIP,NY,USA,,1,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,DISTRICT OF COLUMBIA 98,20552,0004,7H20,"IT AND TELECOM - PLATFORM PRODUCTS: DATABASE, MAINFRAME, MIDDLEWARE (HW, PERPETUAL LICENSE SOFTWARE)",518210,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES",,,USA,UNITED STATES,,,,,This Action,,1,This Action,0,,Bloomberg Terminals - Termination for Convenience,Definitive Contract,02/10/2025 12:19:18,NICOLE.FILS@CFPB.GOV,Final,02/10/2025 12:40:29,NICOLE.FILS@CFPB.GOV,No,,,,02/10/2025 12:40:29,NICOLE.FILS@CFPB.GOV,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Select One,No,Select One,No,No,No,Not Applicable,Not Applicable,Select One,Not Applicable exempt from CAS,Not Consolidated,No,Not Applicable,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Mfg in U.S.,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Not Competed,Other,Only One Source,No set aside used.,No Preference used,Select One,Select One,Only One Source-Other (FAR 6.302-1 other),No,Not Applicable,Select One,Commercial Products/Services Procedures not used,No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
CONSUMER FINANCIAL PROTECTION BUREAU,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0100&modNumber=P00002&idvAgencyID=&idvPIID=03310319D0026&contractType=AWARD,"$584,172",BLOOMBERG GOVERNMENT SUBSCRIPTIONS,True,955F,9531CB23F0100,P00002,0,0300,03310319D0026,0,Terminate for Convenience (complete or partial),,,,,02/10/2025,09/28/2023,03/27/2025,03/27/2028,08/24/2023,,$0.00,"$266,181.75",,$0.00,"$266,181.75",,$0.00,"$850,353.75",$0.00,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,,KG5PWYBKVCA5,"BLOOMBERG INDUSTRY GROUP, INC.",,9Z734,"1801, SOUTH BELL STREET",,ARLINGTON,VA,222024506,UNITED STATES,(703) 341-8573,,VIRGINIA 08,CORPORATE NOT TAX EXEMPT,DE,USA,,1,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,DISTRICT OF COLUMBIA 98,20552,0003,7630,NEWSPAPERS AND PERIODICALS,519190,ALL OTHER INFORMATION SERVICES,,,USA,UNITED STATES,,,,No set aside used.,IDC,51,,IDC,,,Bloomberg Government Subscriptions - Exercise Option Period 1 and add Jawad Syedain as ACOR.,Delivery/Task Order,02/10/2025 12:46:02,NICOLE.FILS@CFPB.GOV,Final,02/10/2025 12:52:00,NICOLE.FILS@CFPB.GOV,No,,,,02/10/2025 12:52:00,NICOLE.FILS@CFPB.GOV,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Select One,No,Select One,No,No,No,Not Applicable,Not Applicable,Select One,Not Applicable exempt from CAS,Not Consolidated,No,No,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Mfg in U.S.,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Competed under SAP,Select One,Simplified Acquisition,Select One,No Preference used,Select One,Select One,Select One,No,Yes,No,Commercial Products/Services,No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
CONSUMER FINANCIAL PROTECTION BUREAU,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0012&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$522,660",POLITICO PRO,True,955F,9531CB25P0012,P00001,0,,,,Terminate for Convenience (complete or partial),9531CB25F00012,,,,02/10/2025,12/21/2024,02/10/2025,02/10/2025,12/05/2024,,$0.00,"$112,715.00",,$0.00,"$112,715.00",,$0.00,"$635,375.00",$0.00,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,,T8JGE1LE8933,"POLITICO, LLC",,7GC29,1000 WILSON BLVD FL 8,,ARLINGTON,VA,222093927,UNITED STATES,(571) 392-2935,,VIRGINIA 08,PARTNERSHIP,DE,USA,,1,VA,,USA,ARLINGTON,ARLINGTON,VIRGINIA 08,22209,3927,7G21,IT AND TELECOM - NETWORK: DIGITAL NETWORK PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),516210,"MEDIA STREAMING DISTRIBUTION SERVICES, SOCIAL NETWORKS, AND OTHER MEDIA NETWORKS AND CONTENT PROVIDERS",,,USA,UNITED STATES,,,,,This Action,,1,This Action,,,Politico Pro,Purchase Order,02/10/2025 11:03:50,CATHERINE.PALMER@CFPB.GOV,Final,02/10/2025 11:32:55,CATHERINE.PALMER@CFPB.GOV,No,,,,02/10/2025 11:32:55,CATHERINE.PALMER@CFPB.GOV,"For Profit Organization
Foreign Owned",Select One,Not Applicable,Firm Fixed Price,Select One,Select One,Select One,Select One,No,No,Not Applicable,Not Applicable,Select One,Select One,Not Consolidated,No,Not Applicable,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Mfg in U.S.,Foreign-Owned Business Incorporated in the U.S.,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Not Competed,Other,Only One Source,No set aside used.,No Preference used,Select One,Select One,Only One Source-Other (FAR 6.302-1 other),No,Yes,Select One,Commercial Products/Services,No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
CONSUMER FINANCIAL PROTECTION BUREAU,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0014&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$103,398",WASHINGTON POST SUBSCRIPTION,True,955F,9531CB25P0014,P00002,0,,,,Terminate for Convenience (complete or partial),,,,,02/10/2025,01/01/2025,02/10/2025,02/10/2025,,,$0.00,"$24,000.00",,$0.00,"$24,000.00",,$0.00,"$127,398.00",$0.00,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,,YQE9NP51VLM4,WP COMPANY LLC,,73EU7,1301 K ST NW,,WASHINGTON,DC,200053317,UNITED STATES,(202) 334-5987,,DISTRICT OF COLUMBIA 98,PARTNERSHIP,DE,USA,,1,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,DISTRICT OF COLUMBIA 98,20005,3317,7630,NEWSPAPERS AND PERIODICALS,513110,NEWSPAPER PUBLISHERS,,,USA,UNITED STATES,,,,,This Action,,1,This Action,,,Washington Post Subscription,Purchase Order,02/10/2025 13:25:39,LAURENT.PICHET@CFPB.GOV,Final,02/10/2025 13:29:23,LAURENT.PICHET@CFPB.GOV,No,,,,02/10/2025 13:29:23,LAURENT.PICHET@CFPB.GOV,"For Profit Organization
Limited Liability Corporation",Select One,Not Applicable,Firm Fixed Price,Select One,Select One,Select One,Select One,No,No,Not Applicable,Not Applicable,Select One,Select One,Not Consolidated,No,Not Applicable,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Mfg in U.S.,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Not Competed under SAP,Other,Simplified Acquisition,No set aside used.,No Preference used,Select One,Select One,SAP Non-Competition (FAR 13),No,Not Applicable,Select One,Commercial Products/Services,No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
CONSUMER FINANCIAL PROTECTION BUREAU,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0017&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$176,665",WALL STREET JOURNAL SBSCRIPTION,True,955F,9531CB24P0017,P00001,0,,,,Terminate for Convenience (complete or partial),,,,,02/10/2025,07/11/2024,02/10/2025,02/10/2025,,,$0.00,"$40,000.00",,$0.00,"$40,000.00",,$0.00,"$216,665.00",$0.00,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,,Q34UKAD7ZCB4,DOW JONES & CO INC,,0U6M1,"1211, AVENUE OF THE AMERICAS",,NEW YORK,NY,100368711,UNITED STATES,(609) 520-5588,(609) 520-5554,NEW YORK 12,CORPORATE NOT TAX EXEMPT,DE,USA,,1,NY,,USA,NEW YORK,NEW YORK,NEW YORK 12,10036,8711,7630,NEWSPAPERS AND PERIODICALS,513110,NEWSPAPER PUBLISHERS,,,USA,UNITED STATES,,,,,This Action,,1,This Action,,,Wall Street Journal Sbscription,Purchase Order,02/10/2025 12:37:21,LAURENT.PICHET@CFPB.GOV,Final,02/10/2025 13:00:01,LAURENT.PICHET@CFPB.GOV,No,,,,02/10/2025 13:00:01,LAURENT.PICHET@CFPB.GOV,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Select One,Select One,Select One,Select One,No,No,Not Applicable,Not Applicable,Select One,Select One,Not Consolidated,No,Not Applicable,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Mfg in U.S.,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Not Competed,Other,Only One Source,No set aside used.,No Preference used,Select One,Select One,Unique Source (FAR 6.302-1(b)(1)),No,Not Applicable,Select One,Commercial Products/Services,No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
CONSUMER FINANCIAL PROTECTION BUREAU,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0046&modNumber=P00008&idvAgencyID=&idvPIID=03310318DL19C0008&contractType=AWARD,$0,PROCURE CQ ROLL CALL SUBSCRIPTION THROUGH LIBRARY OF CONGRESS CONTRACT.,True,955F,9531CB20F0046,P00008,0,0300,03310318DL19C0008,0,Terminate for Convenience (complete or partial),,,,,02/10/2025,02/29/2020,02/10/2025,02/10/2025,,,$0.00,"$245,616.00",,$0.00,"$245,616.00",,$0.00,"$245,616.00",$0.00,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,,N8K7N7GJAZ73,"CQ-ROLL CALL, INC.",,4NCC2,1625 EYE ST NW STE 200,,WASHINGTON,DC,200064061,UNITED STATES,(202) 650-6401,(202) 650-6755,DISTRICT OF COLUMBIA 98,CORPORATE NOT TAX EXEMPT,DE,USA,,1,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,DISTRICT OF COLUMBIA 98,20006,4061,7630,NEWSPAPERS AND PERIODICALS,519190,ALL OTHER INFORMATION SERVICES,,,USA,UNITED STATES,,,,No set aside used.,IDC,49,,IDC,,,CQ Roll Call subscription - termination for convenience,Delivery/Task Order,02/10/2025 11:59:25,VANESSA.DELTORO@CFPB.GOV,Final,02/10/2025 12:14:31,VANESSA.DELTORO@CFPB.GOV,No,,,,02/10/2025 12:14:31,VANESSA.DELTORO@CFPB.GOV,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Select One,No,Select One,No,No,No,Not Applicable,Not Applicable,Select One,Select One,Not Consolidated,No,No,No,No,None of the Above,Not Applicable,Not Bundled,Mfg in U.S.,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Competed under SAP,Select One,Simplified Acquisition,Select One,No Preference used,Select One,Select One,Select One,No,Yes,No,Commercial Products/Services,No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
CONSUMER FINANCIAL PROTECTION BUREAU,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0039&modNumber=P00001&idvAgencyID=&idvPIID=03310323D0031&contractType=AWARD,SEE FPDS,,True,955F,9531CB25F0039,P00001,0,0300,03310323D0031,0,Terminate for Convenience (complete or partial),,,,,02/10/2025,01/30/2025,02/10/2025,02/10/2025,01/28/2025,,$0.00,"$56,300.00",,$0.00,"$56,300.00",,$0.00,"$299,250.00",$0.00,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,,FMHKL71EGBX7,"FISCALNOTE, INC.",,7GR71,1201 PENNSYLVANIA AVE NW STE 600,,WASHINGTON,DC,200042460,UNITED STATES,(202) 650-6443,,DISTRICT OF COLUMBIA 98,CORPORATE NOT TAX EXEMPT,DE,USA,,1,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,DISTRICT OF COLUMBIA 98,20004,2460,7630,NEWSPAPERS AND PERIODICALS,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATION SERVICES,,,USA,UNITED STATES,,,,No set aside used.,IDC,50,,IDC,,,CQ RollCall,Delivery/Task Order,02/10/2025 12:12:15,LAURENT.PICHET@CFPB.GOV,Final,02/10/2025 12:23:55,LAURENT.PICHET@CFPB.GOV,No,,,,02/10/2025 12:23:55,LAURENT.PICHET@CFPB.GOV,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Select One,No,Select One,No,No,No,Not Applicable,Not Applicable,Select One,Not Applicable exempt from CAS,Not Consolidated,No,No,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Mfg in U.S.,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Competed under SAP,Trade-off,Simplified Acquisition,Select One,No Preference used,Select One,Select One,Select One,No,Yes,Select One,Commercial Products/Services,No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
CONSUMER FINANCIAL PROTECTION BUREAU,1/29/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0008&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA20D003C&contractType=IDV,"$9,999,999","$9,999,999",True,955F,9531CB24A0008,P00001,,4732,47QRAA20D003C,PA0007,Close Out,,,,,01/28/2025,09/30/2024,,,,,$0.00,$0.00,,,,,,"$9,999,999.00",,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,955F,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,CONSUMER FINANCE PROTECTION BUREAU,,TMM2M1FJMLD5,CULTUREPOINT LLC,,6G0R1,5904 MOUNT EAGLE DRIVE,APT 1004,ALEXANDRIA,VA,223032539,UNITED STATES,(571) 314-4671,,VIRGINIA 08,CORPORATE NOT TAX EXEMPT,VA,USA,,,,,,,,,,,U009,EDUCATION/TRAINING- GENERAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,,,,,,,Full and Open Competition,No set aside used.,FSS,999,3,This Action,,,OMWI Training Support  - DEIA Training Termination,,01/28/2025 16:12:49,MICHAEL.VILLANO@CFPB.GOV,Final,01/28/2025 16:17:52,MICHAEL.VILLANO@CFPB.GOV,Yes,01/28/2025 16:17:52,MICHAEL.VILLANO@CFPB.GOV,,01/28/2025 16:17:52,MICHAEL.VILLANO@CFPB.GOV,"For Profit Organization
Limited Liability Corporation",Select One,Not Applicable,Firm Fixed Price,Closely Associated,Select One,Select One,Select One,,No,Not Applicable,Not Applicable,,Not Applicable exempt from CAS,Not Consolidated,No,Yes,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,,U.S. Owned Business,Select One,,Select One,Transaction does not use GFP,,Full and Open Competition,Lowest Price Technically Acceptable,Subject to Multiple Award Fair Opportunity,Select One,No Preference used,Select One,Fair Opportunity given,Select One,No,Select One,No,Commercial Products/Services,No,Small Business,Select One,01/28/2025,$0.00,$0.00,,,,,$0.00,,,,,BPA,Select One,Single Award,Only the Agency awarding the contract may place orders.
