Main Agency,Location,Sqare Feet,Doge Value
DEPARTMENT OF STATE,"MIAMI, FL","3,076","$7,383"
BUREAU OF PRISONS,"CINCINNATI, OH","3,068","$30,295"
BUREAU OF PRISONS,"KANSAS CITY, BUREAU OF PRISONS","51,138","$1,275,000"
FAS- OFFICE SPAC,"O’FALLON, IL, FAS SERVICE CENTER","4,599","$239,250"
FAS- OFFICE SPAC,"FAIRBORN, OH, FAS","2,983","$80,292"
CENTER FOR DISEASE CONTROL,"ATLANTA, GA, CDC","119,812","$2,060,883"
MULTIPLE,"CHARLOTTESVILLE, VA","3,719","$620,605"
SOCIAL SECURITY ADMINISTRATION,"WHITE PLAINS, NY","16,632","$162,689"
MULTIPLE,"ARLINGTON, VA","55,043","$12,979,560"
DHS OFFICE OF THE UNDERSECRETARY FOR MANAGEMENT,"ARLINGTON, VA","49,662","$12,202,890"
PBS,"MIDDLEBURG HEIGHTS, OH","5,421","$193,136"
BUREAU OF LABOR STATISTICS,"WASHINGTON, DC","845,389","$7,148,974"
MULTIPLE,"WASHINGTON, DC","46,821","$1,898,397"
PUBLIC BUILDINGS SERVICE-FIELD OFFICE,"SPRINGFIELD, IL","3,860","$164,698"
DHS UNITED STATES SECRET SERVICE,"NEW YORK, NY",250,"$4,142"
MULTIPLE,"RIVERDALE PARK, MD","5,598","$32,559"
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"NEW YORK, NY",0,"$1,316,480"
FIELD OFFICES,"WASHINGTON, DC","22,195","$1,150,282"
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"NEW YORK, NY",0,"$2,261,182"
SOCIAL SECURITY ADMINISTRATION,"LOGAN, WV","7,852","$45,650"
DEPARTMENT OF EDUCATION,"WASHINGTON, DC","5,255","$196,366"
DOD -WHS,"LOS ANGELES, CA","6,610","$2,317,200"
MULTIPLE,"REHOBOTH BEACH, DE","1,300","$600,000"
DHS UNITED STATES SECRET SERVICE,"REHOBOTH BEACH, DE","2,400","$1,544,875"
DEFENSE INFORMATION SYSTEMS AGENCY,"REHOBOTH BEACH, DE","2,740","$781,500"
DOD -WHS,"WILMINGTON, DE","2,350","$446,250"
